Voltage,Current,Temperature,Time,Voltage_smooth,Current_smooth,Temperature_smooth
4.246711253516259,0.000252388610586,6.212696115916043,0.0,4.231476627152345,-0.021123877736586028,6.033353815975919
4.241379202519385,3.4347211057436124e-05,6.107293572859801,1.0,4.2268824048337885,-0.0285175051586569,5.9786879126452614
4.23604715152251,-0.00018369418847112774,6.001891029803559,2.0,4.222288182515232,-0.03591113258072777,5.924022009314604
4.230715100525636,-0.0004017355879996916,5.896488486747317,3.0,4.2176939601966765,-0.043304760002798634,5.869356105983947
4.225383049528761,-0.0006197769875282554,5.791085943691075,4.0,4.21309973787812,-0.05069838742486951,5.814690202653289
4.220050998531888,-0.0008378183870568193,5.685683400634833,5.0,4.208505515559564,-0.058092014846940376,5.760024299322633
4.2147189475350135,-0.0010558597865853831,5.580280857578591,6.0,4.203911293241007,-0.06548564226901124,5.705358395991976
4.209386896538139,-0.001273901186113947,5.474878314522349,7.0,4.199317070922452,-0.07287926969108212,5.650692492661318
4.204054845541265,-0.0014919425856425108,5.3694757714661066,8.0,4.194722848603895,-0.080272897113153,5.596026589330661
4.19872279454439,-0.001709983985171075,5.264073228409865,9.0,4.190128626285339,-0.08766652453522386,5.5413606860000035
4.184984792819075,-0.07266975849962545,5.258077877130042,10.0,4.178212601122189,-0.1455481419178171,5.515886053063242
4.171246791093759,-0.14362953301407985,5.252082525850218,11.0,4.166296575959038,-0.20342975930041035,5.49041142012648
4.157508789368444,-0.21458930752853422,5.246087174570396,12.0,4.154380550795888,-0.2613113766830036,5.4649367871897185
4.143770787643129,-0.2855490820429886,5.240091823290572,13.0,4.142464525632738,-0.3191929940655968,5.439462154252957
4.130032785917813,-0.356508856557443,5.234096472010749,14.0,4.130548500469587,-0.3770746114481901,5.413987521316195
4.116294784192498,-0.42746863107189736,5.228101120730925,15.0,4.118632475306437,-0.43495622883078333,5.3885128883794335
4.1025567824671825,-0.49842840558635176,5.222105769451103,16.0,4.106716450143287,-0.49283784621337656,5.363038255442671
4.088818780741867,-0.5693881801008062,5.216110418171279,17.0,4.094800424980136,-0.5507194635959698,5.337563622505909
4.075080779016552,-0.6403479546152605,5.210115066891456,18.0,4.082884399816986,-0.608601080978563,5.312088989569148
4.0613427772912365,-0.711307729129715,5.204119715611633,19.0,4.070968374653835,-0.6664826983611563,5.286614356632386
4.0476047755659215,-0.7822675036441693,5.198124364331809,20.0,4.059052349490685,-0.7243643157437495,5.261139723695624
4.033866773840606,-0.8532272781586236,5.192129013051987,21.0,4.047136324327535,-0.7822459331263427,5.235665090758863
4.0201287721152905,-0.9241870526730781,5.186133661772163,22.0,4.035220299164384,-0.840127550508936,5.210190457822101
4.0063907703899755,-0.9951468271875326,5.18013831049234,23.0,4.023304274001234,-0.8980091678915292,5.184715824885339
