Time,Voltage,Current
0.0,4.17884,0.0
0.10300688445568085,4.17884,0.0
0.2010047435760498,4.17884,0.0
0.30100420117378235,4.17884,0.0
0.40199942886829376,4.17884,0.0
0.5019988864660263,4.17884,0.0
0.60100257396698,4.17884,0.0
0.6990004330873489,4.17884,0.0
0.8030030876398087,4.17884,0.0
0.9000051766633987,4.17884,0.0
1.0010004043579102,4.17884,0.0
1.1020056903362274,4.17884,0.0
1.20200514793396,4.17884,0.0
1.3020046055316925,4.17884,0.0
1.4000024646520615,4.17884,0.0
1.5010077506303787,4.17884,0.0
1.6000013798475266,4.17884,0.0
1.7030082643032074,4.17884,0.0
1.80300772190094,4.17884,0.0
1.9020013511180878,4.17884,0.0
1.9999992102384567,4.17884,0.0
2.101004496216774,4.17884,0.0
2.2019997239112854,4.17884,0.0
2.301003411412239,4.17884,0.0
2.4010028690099716,4.17884,0.0
2.502008154988289,4.17884,0.0
2.6020076125860214,4.17884,0.0
2.703002840280533,4.17884,0.0
2.8030022978782654,4.17884,0.0
2.902005985379219,4.17884,0.0
3.000003844499588,4.17884,0.0
3.1009990721940994,4.17884,0.0
3.200002759695053,4.17884,0.0
3.302999585866928,4.17884,0.0
3.4020032733678818,4.17884,0.0
3.5000011324882507,4.17884,0.0
3.6000005900859833,4.17884,0.0
3.703007474541664,4.17884,0.0
3.7999995052814484,4.17884,0.0
3.9020005613565445,4.17884,0.0
4.002000018954277,4.17884,0.0
4.100007936358452,4.17884,0.0
4.1990015655756,4.17884,0.0
4.300006851553917,4.17884,0.0
4.4000063091516495,4.17884,0.0
4.501001536846161,4.17884,0.0
4.601000994443893,4.17884,0.0
4.700004681944847,4.17884,0.0
4.803001508116722,4.17884,0.0
4.902005195617676,4.17884,0.0
5.0010088831186295,4.17884,0.0
5.100002512335777,4.17884,0.0
5.202003568410873,4.17884,0.0
5.301007255911827,4.17884,0.0
5.400000885128975,4.17884,0.0
5.499004572629929,4.17884,0.0
5.601005628705025,4.17884,0.0
5.702000856399536,4.17884,0.0
5.802000313997269,4.17884,0.0
5.9000082314014435,4.17884,0.0
5.999001860618591,4.17884,0.0
6.102008745074272,4.17884,0.0
6.203999742865562,4.17884,0.0
6.299000233411789,4.17884,0.0
6.403002887964249,4.17884,0.0
6.503002345561981,4.17884,0.0
6.600004434585571,4.17884,0.0
6.700003892183304,4.17884,0.0
6.7990075796842575,4.17884,0.0
6.900998577475548,4.17884,0.0
6.999006494879723,4.17884,0.0
7.101007550954819,4.17884,0.0
7.2000011801719666,4.17884,0.0
7.302002236247063,4.17884,0.0
7.401005923748016,4.17884,0.0
7.499999552965164,4.17884,0.0
7.60200060904026,4.17884,0.0
7.702000066637993,4.17884,0.0
7.80300535261631,4.17884,0.0
7.9000074416399,4.17884,0.0
